"id","coverage","age","wage","cit","mar","educ","race","esr"
4774,"No Coverage",25,0,"Non-citizen","Married","HS Degree","White","Employed Civilian"
4775,"No Coverage",25,0,"Citizen","Never Married","Undergraduate Degree","Asian","Employed Civilian"
4776,"No Coverage",47,0,"Citizen","Married","Undergraduate Degree","Black","Employed Civilian"
4777,"No Coverage",53,0,"Citizen","Married","Graduate Degree","Black","Employed Civilian"
4778,"No Coverage",29,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4779,"No Coverage",19,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
4780,"No Coverage",59,0,"Non-citizen","Married","Less than HS","Asian","Not in Labor Force"
4781,"No Coverage",62,0,"Citizen","Married","HS Degree","White","Unemployed"
4782,"No Coverage",45,0,"Citizen","Separated","Less than HS","Black","Not in Labor Force"
4783,"No Coverage",21,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
4784,"No Coverage",19,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4785,"No Coverage",26,0,"Citizen","Never Married","HS Degree","Other","Not in Labor Force"
4786,"No Coverage",44,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4787,"No Coverage",55,0,"Citizen","Divorced","HS Degree","Black","Employed Civilian"
4788,"No Coverage",26,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4789,"No Coverage",35,0,"Citizen","Divorced","HS Degree","Black","Unemployed"
4790,"No Coverage",42,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4791,"No Coverage",18,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
4792,"No Coverage",16,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
4793,"No Coverage",43,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
4794,"No Coverage",24,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
4795,"No Coverage",50,0,"Citizen","Divorced","HS Degree","Black","Employed Civilian"
4796,"No Coverage",26,0,"Citizen","Never Married","HS Degree","Asian","Not in Labor Force"
4797,"No Coverage",26,0,"Non-citizen","Never Married","HS Degree","Asian","Not in Labor Force"
4798,"No Coverage",23,0,"Non-citizen","Never Married","HS Degree","Asian","Not in Labor Force"
4799,"No Coverage",62,0,"Citizen","Married","Undergraduate Degree","Asian","Unemployed"
4800,"No Coverage",51,0,"Citizen","Married","HS Degree","Asian","Not in Labor Force"
4801,"No Coverage",41,0,"Non-citizen","Married","HS Degree","White","Employed Civilian"
4802,"No Coverage",46,0,"Non-citizen","Married","HS Degree","White","Employed Civilian"
4803,"No Coverage",19,0,"Non-citizen","Never Married","HS Degree","White","Not in Labor Force"
4804,"No Coverage",17,0,"Non-citizen","Never Married","Less than HS","White","Not in Labor Force"
4805,"No Coverage",18,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4806,"No Coverage",29,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4807,"No Coverage",50,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
4808,"No Coverage",57,0,"Citizen","Divorced","HS Degree","Black","Not in Labor Force"
4809,"No Coverage",21,0,"Citizen","Never Married","HS Degree","Two or More","Unemployed"
4810,"No Coverage",36,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4811,"No Coverage",39,0,"Non-citizen","Separated","HS Degree","White","Employed Civilian"
4812,"No Coverage",27,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
4813,"No Coverage",40,0,"Non-citizen","Married","Undergraduate Degree","White","Employed Civilian"
4814,"No Coverage",37,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
4815,"No Coverage",19,0,"Citizen","Never Married","Less than HS","White","Not in Labor Force"
4816,"No Coverage",48,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
4817,"No Coverage",43,0,"Citizen","Married","HS Degree","Black","Not in Labor Force"
4818,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Unemployed"
4819,"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4820,"No Coverage",33,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
4821,"No Coverage",38,0,"Citizen","Divorced","Graduate Degree","Black","Unemployed"
4822,"No Coverage",26,0,"Citizen","Never Married","Less than HS","White","Employed Civilian"
4823,"No Coverage",24,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4824,"No Coverage",41,0,"Citizen","Married","HS Degree","Black","Unemployed"
4825,"No Coverage",45,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
4826,"No Coverage",32,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
4827,"No Coverage",54,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
4828,"No Coverage",23,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4829,"No Coverage",26,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
4830,"No Coverage",56,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4831,"No Coverage",54,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4832,"No Coverage",21,0,"Citizen","Never Married","Less than HS","White","Not in Labor Force"
4833,"No Coverage",41,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4834,"No Coverage",29,0,"Citizen","Married","Less than HS","Other","Employed Civilian"
4835,"No Coverage",42,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4836,"No Coverage",55,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
4837,"No Coverage",52,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
4838,"No Coverage",23,0,"Citizen","Married","Less than HS","White","Unemployed"
4839,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4840,"No Coverage",45,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4841,"No Coverage",51,0,"Citizen","Separated","Graduate Degree","Black","Employed Civilian"
4842,"No Coverage",26,0,"Citizen","Divorced","HS Degree","Black","Not in Labor Force"
4843,"No Coverage",25,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4844,"No Coverage",62,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
4845,"No Coverage",62,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4846,"No Coverage",30,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4847,"No Coverage",45,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4848,"No Coverage",19,0,"Citizen","Never Married","Less than HS","White","Unemployed"
4849,"No Coverage",42,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
4850,"No Coverage",46,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4851,"No Coverage",17,0,"Citizen","Never Married","Less than HS","White","Unemployed"
4852,"No Coverage",21,0,"Citizen","Separated","HS Degree","White","Not in Labor Force"
4853,"No Coverage",30,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4854,"No Coverage",39,0,"Citizen","Married","Less than HS","White","Employed Civilian"
4855,"No Coverage",41,0,"Citizen","Married","Less than HS","White","Employed Civilian"
4856,"No Coverage",40,0,"Citizen","Married","Undergraduate Degree","Asian","Unemployed"
4857,"No Coverage",44,0,"Citizen","Married","Undergraduate Degree","Asian","Employed Civilian"
4858,"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4859,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4860,"No Coverage",28,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4861,"No Coverage",25,0,"Citizen","Separated","HS Degree","White","Employed Civilian"
4862,"No Coverage",19,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4863,"No Coverage",62,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
4864,"No Coverage",24,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4865,"No Coverage",25,0,"Citizen","Never Married","HS Degree","White","Unemployed"
4866,"No Coverage",38,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
4867,"No Coverage",19,0,"Citizen","Never Married","Less than HS","White","Unemployed"
4868,"No Coverage",38,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4869,"No Coverage",30,0,"Citizen","Separated","HS Degree","Black","Not in Labor Force"
4870,"No Coverage",48,0,"Citizen","Married","HS Degree","Black","Not in Labor Force"
4871,"No Coverage",48,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
4872,"No Coverage",36,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4873,"No Coverage",36,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4874,"No Coverage",54,0,"Citizen","Married","HS Degree","Black","Not in Labor Force"
4875,"No Coverage",27,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
4876,"No Coverage",61,0,"Citizen","Divorced","HS Degree","White","Unemployed"
4877,"No Coverage",51,0,"Citizen","Separated","HS Degree","Black","Employed Civilian"
4878,"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
4879,"No Coverage",18,0,"Citizen","Never Married","Less than HS","White","Unemployed"
4880,"No Coverage",29,0,"Citizen","Never Married","Less than HS","Black","Unemployed"
4881,"No Coverage",24,0,"Citizen","Married","Less than HS","Black","Employed Civilian"
4882,"No Coverage",54,0,"Citizen","Separated","HS Degree","Black","Not in Labor Force"
4883,"No Coverage",75,0,"Citizen","Divorced","HS Degree","Black","Not in Labor Force"
4884,"No Coverage",21,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4885,"No Coverage",29,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4886,"No Coverage",39,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
4887,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
4888,"No Coverage",25,0,"Citizen","Never Married","Undergraduate Degree","Black","Unemployed"
4889,"No Coverage",42,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4890,"No Coverage",34,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
4891,"No Coverage",30,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4892,"No Coverage",25,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4893,"No Coverage",22,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
4894,"No Coverage",57,0,"Citizen","Married","Less than HS","White","Unemployed"
4895,"No Coverage",27,0,"Citizen","Married","HS Degree","Black","Not in Labor Force"
4896,"No Coverage",22,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
4897,"No Coverage",46,0,"Citizen","Divorced","HS Degree","Two or More","Employed Civilian"
4898,"No Coverage",56,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4899,"No Coverage",56,0,"Citizen","Married","Undergraduate Degree","White","Employed Civilian"
4900,"No Coverage",19,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4901,"No Coverage",19,0,"Citizen","Never Married","Less than HS","White","Employed Civilian"
4902,"No Coverage",56,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
4903,"No Coverage",57,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4904,"No Coverage",33,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4905,"No Coverage",25,0,"Non-citizen","Never Married","Graduate Degree","White","Employed Civilian"
4906,"No Coverage",52,0,"Citizen","Married","HS Degree","White","Unemployed"
4907,"No Coverage",34,0,"Non-citizen","Never Married","HS Degree","Asian","Employed Civilian"
4908,"No Coverage",53,0,"Citizen","Divorced","Undergraduate Degree","Black","Employed Civilian"
4909,"No Coverage",47,0,"Citizen","Married","Less than HS","Black","Employed Civilian"
4910,"No Coverage",51,0,"Citizen","Married","HS Degree","Black","Unemployed"
4911,"No Coverage",21,0,"Citizen","Never Married","Less than HS","Black","Unemployed"
4912,"No Coverage",20,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
4913,"No Coverage",38,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
4914,"No Coverage",46,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
4915,"No Coverage",30,0,"Citizen","Never Married","Less than HS","White","Employed Civilian"
4916,"No Coverage",35,0,"Citizen","Divorced","Less than HS","White","Not in Labor Force"
4917,"No Coverage",18,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4918,"No Coverage",42,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
4919,"No Coverage",43,0,"Citizen","Married","HS Degree","Black","Not in Labor Force"
4920,"No Coverage",32,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
4921,"No Coverage",37,0,"Citizen","Divorced","Less than HS","Black","Employed Civilian"
4922,"No Coverage",57,0,"Citizen","Never Married","Less than HS","White","Not in Labor Force"
4923,"No Coverage",62,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
4924,"No Coverage",58,0,"Citizen","Divorced","Graduate Degree","White","Unemployed"
4925,"No Coverage",56,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4926,"No Coverage",33,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4927,"No Coverage",50,0,"Citizen","Never Married","Less than HS","Black","Employed Civilian"
4928,"No Coverage",35,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4929,"No Coverage",27,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4930,"No Coverage",27,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4931,"No Coverage",22,0,"Non-citizen","Never Married","HS Degree","Other","Unemployed"
4932,"No Coverage",19,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4933,"No Coverage",50,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4934,"No Coverage",52,0,"Citizen","Never Married","Undergraduate Degree","White","Not in Labor Force"
4935,"No Coverage",28,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4936,"No Coverage",27,0,"Citizen","Married","HS Degree","White","Unemployed"
4937,"No Coverage",44,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4938,"No Coverage",41,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4939,"No Coverage",34,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
4940,"No Coverage",42,0,"Citizen","Separated","HS Degree","White","Not in Labor Force"
4941,"No Coverage",41,0,"Citizen","Divorced","Less than HS","White","Employed Civilian"
4942,"No Coverage",47,0,"Citizen","Married","Less than HS","Black","Not in Labor Force"
4943,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Unemployed"
4944,"No Coverage",30,0,"Citizen","Married","HS Degree","Black","Unemployed"
4945,"No Coverage",25,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
4946,"No Coverage",48,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4947,"No Coverage",39,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
4948,"No Coverage",34,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4949,"No Coverage",62,0,"Citizen","Widowed","HS Degree","Black","Employed Civilian"
4950,"No Coverage",45,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4951,"No Coverage",29,0,"Citizen","Married","HS Degree","Black","Unemployed"
4952,"No Coverage",33,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
4953,"No Coverage",31,0,"Citizen","Never Married","Less than HS","White","Employed Civilian"
4954,"No Coverage",22,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4955,"No Coverage",28,0,"Non-citizen","Married","Undergraduate Degree","White","Not in Labor Force"
4956,"No Coverage",34,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4957,"No Coverage",49,0,"Citizen","Married","HS Degree","White","Employed Civilian"
4958,"No Coverage",49,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
4959,"No Coverage",24,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
4960,"No Coverage",42,0,"Citizen","Widowed","Less than HS","Two or More","Not in Labor Force"
4961,"No Coverage",67,0,"Non-citizen","Widowed","Less than HS","Black","Not in Labor Force"
4962,"No Coverage",48,0,"Non-citizen","Married","HS Degree","Asian","Unemployed"
4963,"No Coverage",37,0,"Citizen","Never Married","Less than HS","White","Unemployed"
4964,"No Coverage",22,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4965,"No Coverage",47,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
4966,"No Coverage",18,0,"Citizen","Never Married","HS Degree","White","Unemployed"
4967,"No Coverage",48,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4968,"No Coverage",27,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
4969,"No Coverage",33,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4970,"No Coverage",25,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4971,"No Coverage",35,0,"Non-citizen","Never Married","Less than HS","White","Employed Civilian"
4972,"No Coverage",30,0,"Non-citizen","Never Married","Less than HS","White","Not in Labor Force"
4973,"No Coverage",27,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4974,"No Coverage",22,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4975,"No Coverage",50,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4976,"No Coverage",17,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
4977,"No Coverage",30,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4978,"No Coverage",56,0,"Citizen","Divorced","HS Degree","Black","Employed Civilian"
4979,"No Coverage",21,0,"Citizen","Never Married","Less than HS","Black","Employed Civilian"
4980,"No Coverage",29,0,"Citizen","Never Married","HS Degree","White","Unemployed"
4981,"No Coverage",26,0,"Citizen","Married","HS Degree","White","Unemployed"
4982,"No Coverage",54,0,"Citizen","Widowed","HS Degree","Black","Not in Labor Force"
4983,"No Coverage",32,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
4984,"No Coverage",34,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
4985,"No Coverage",61,0,"Citizen","Divorced","Less than HS","Black","Not in Labor Force"
4986,"No Coverage",43,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
4987,"No Coverage",19,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
4988,"No Coverage",34,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
4989,"No Coverage",49,0,"Citizen","Married","HS Degree","Black","Not in Labor Force"
4990,"No Coverage",32,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
4991,"No Coverage",27,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
4992,"No Coverage",34,0,"Citizen","Married","HS Degree","Black","Unemployed"
4993,"No Coverage",63,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
4994,"No Coverage",49,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
4995,"No Coverage",40,0,"Non-citizen","Married","Less than HS","Asian","Not in Labor Force"
4996,"No Coverage",38,0,"Non-citizen","Married","Less than HS","Asian","Employed Civilian"
4997,"No Coverage",19,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4998,"No Coverage",19,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
4999,"No Coverage",43,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
5000,"No Coverage",58,0,"Citizen","Divorced","HS Degree","Black","Not in Labor Force"
5001,"No Coverage",33,0,"Citizen","Married","HS Degree","Black","Not in Labor Force"
5002,"No Coverage",44,0,"Citizen","Married","Less than HS","Black","Employed Civilian"
5003,"No Coverage",27,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
5004,"No Coverage",21,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
5005,"No Coverage",32,0,"Citizen","Divorced","Less than HS","Black","Employed Civilian"
5006,"No Coverage",30,0,"Citizen","Divorced","HS Degree","Black","Not in Labor Force"
5007,"No Coverage",20,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
5008,"No Coverage",60,0,"Citizen","Never Married","Less than HS","Black","Employed Civilian"
5009,"No Coverage",37,0,"Citizen","Married","HS Degree","White","Employed Civilian"
5010,"No Coverage",47,0,"Citizen","Married","HS Degree","White","Employed Civilian"
5011,"No Coverage",25,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
5012,"No Coverage",18,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
5013,"No Coverage",41,0,"Citizen","Married","Less than HS","White","Employed Civilian"
5014,"No Coverage",43,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
5015,"No Coverage",21,0,"Citizen","Married","Less than HS","White","Unemployed"
5016,"No Coverage",62,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
5017,"No Coverage",41,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
5018,"No Coverage",23,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
5019,"No Coverage",36,0,"Citizen","Divorced","HS Degree","Black","Not in Labor Force"
5020,"No Coverage",50,0,"Citizen","Widowed","Less than HS","White","Employed Civilian"
5021,"No Coverage",19,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
5022,"No Coverage",42,0,"Citizen","Separated","Less than HS","Other","Unemployed"
5023,"No Coverage",40,0,"Non-citizen","Married","Less than HS","Other","Employed Civilian"
5024,"No Coverage",38,0,"Non-citizen","Married","Less than HS","Other","Not in Labor Force"
5025,"No Coverage",49,0,"Citizen","Divorced","Undergraduate Degree","White","Unemployed"
5026,"No Coverage",53,0,"Citizen","Separated","Less than HS","White","Employed Civilian"
5027,"No Coverage",38,0,"Non-citizen","Married","Undergraduate Degree","White","Employed Civilian"
5028,"No Coverage",49,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
5029,"No Coverage",50,0,"Citizen","Married","Less than HS","White","Employed Civilian"
5030,"No Coverage",51,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
5031,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
5032,"No Coverage",24,0,"Non-citizen","Never Married","Less than HS","Other","Not in Labor Force"
5033,"No Coverage",34,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
5034,"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
5035,"No Coverage",29,0,"Non-citizen","Never Married","HS Degree","Asian","Not in Labor Force"
5036,"No Coverage",32,0,"Citizen","Never Married","Undergraduate Degree","White","Employed Civilian"
5037,"No Coverage",28,0,"Non-citizen","Divorced","Less than HS","Other","Employed Civilian"
5038,"No Coverage",28,0,"Non-citizen","Never Married","Less than HS","Other","Employed Civilian"
5039,"No Coverage",17,0,"Non-citizen","Widowed","Less than HS","Other","Employed Civilian"
5040,"No Coverage",37,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
5041,"No Coverage",23,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
5042,"No Coverage",50,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
5043,"No Coverage",21,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
5044,"No Coverage",44,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
5045,"No Coverage",33,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
5046,"No Coverage",21,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
5047,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
5048,"No Coverage",27,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
5049,"No Coverage",32,0,"Non-citizen","Married","HS Degree","Black","Employed Civilian"
5050,"No Coverage",33,0,"Non-citizen","Married","HS Degree","Black","Not in Labor Force"
5051,"No Coverage",18,0,"Citizen","Never Married","Less than HS","White","Not in Labor Force"
5052,"No Coverage",53,0,"Citizen","Married","Less than HS","Black","Employed Civilian"
5053,"No Coverage",47,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
5054,"No Coverage",48,0,"Citizen","Divorced","HS Degree","White","Unemployed"
5055,"No Coverage",50,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
5056,"No Coverage",33,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
5057,"No Coverage",49,0,"Citizen","Married","Undergraduate Degree","White","Employed Civilian"
5058,"No Coverage",29,0,"Citizen","Divorced","Undergraduate Degree","Two or More","Employed Civilian"
5059,"No Coverage",46,0,"Citizen","Divorced","HS Degree","Black","Employed Civilian"
5060,"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
5061,"No Coverage",25,0,"Citizen","Married","Less than HS","White","Unemployed"
5062,"No Coverage",26,0,"Citizen","Married","Less than HS","White","Employed Civilian"
5063,"No Coverage",58,0,"Citizen","Married","HS Degree","Asian","Employed Civilian"
5064,"No Coverage",55,0,"Citizen","Married","Less than HS","Asian","Employed Civilian"
5065,"No Coverage",36,0,"Non-citizen","Married","Less than HS","Asian","Employed Civilian"
5066,"No Coverage",34,0,"Citizen","Married","Less than HS","Asian","Employed Civilian"
5067,"No Coverage",28,0,"Citizen","Married","HS Degree","Asian","Employed Civilian"
5068,"No Coverage",25,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
5069,"No Coverage",24,0,"Citizen","Never Married","Less than HS","Black","Unemployed"
5070,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
5071,"No Coverage",28,0,"Citizen","Divorced","HS Degree","White","Unemployed"
5072,"No Coverage",38,0,"Citizen","Married","HS Degree","White","Employed Civilian"
5073,"No Coverage",58,0,"Citizen","Married","HS Degree","Black","Not in Labor Force"
5074,"No Coverage",16,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
5075,"No Coverage",45,0,"Citizen","Married","Less than HS","White","Employed Civilian"
5076,"No Coverage",43,0,"Citizen","Married","HS Degree","White","Unemployed"
5077,"No Coverage",21,0,"Citizen","Never Married","Less than HS","White","Employed Civilian"
5078,"No Coverage",35,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
5079,"No Coverage",32,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
5080,"No Coverage",21,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
5081,"No Coverage",23,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
5082,"No Coverage",18,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
5083,"No Coverage",58,0,"Citizen","Widowed","Less than HS","Black","Unemployed"
5084,"No Coverage",25,0,"Citizen","Never Married","Undergraduate Degree","Two or More","Employed Civilian"
5085,"No Coverage",39,0,"Citizen","Divorced","Less than HS","White","Unemployed"
5086,"No Coverage",62,0,"Citizen","Divorced","Less than HS","White","Not in Labor Force"
5087,"No Coverage",67,0,"Citizen","Divorced","Less than HS","White","Not in Labor Force"
5088,"No Coverage",23,0,"Citizen","Never Married","HS Degree","White","Unemployed"
5089,"No Coverage",59,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
5090,"No Coverage",31,0,"Citizen","Separated","HS Degree","White","Employed Civilian"
5091,"No Coverage",21,0,"Citizen","Never Married","Less than HS","White","Unemployed"
5092,"No Coverage",25,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
5093,"No Coverage",46,0,"Citizen","Married","HS Degree","White","Employed Civilian"
5094,"No Coverage",57,0,"Citizen","Married","Graduate Degree","White","Employed Civilian"
5095,"No Coverage",18,0,"Citizen","Never Married","HS Degree","White","Unemployed"
5096,"No Coverage",36,0,"Citizen","Married","HS Degree","White","Unemployed"
5097,"No Coverage",48,0,"Citizen","Married","HS Degree","White","Unemployed"
5098,"No Coverage",21,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
5099,"No Coverage",44,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
5100,"No Coverage",51,0,"Citizen","Divorced","Less than HS","White","Not in Labor Force"
5101,"No Coverage",29,0,"Non-citizen","Married","Graduate Degree","Black","Employed Civilian"
5102,"No Coverage",60,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
5103,"No Coverage",41,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
